Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,92.0,1.0,92.0,92.0,0.1,3.4999999999999982,0.0,0.0,0.011043071746826172,,,,,,,,,,,,,,,,,,,,,2.3049135135822243,1.015635873990152,3.9469120483485427,0.24964999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,130.0,2.0,38.0,130.0,0.1,0.7999999999999999,0.0,0.0,4.308558464050293,,,,,,,,,,,,,,,,,,,,,0.5657289869500608,0.2730894853754376,1.0830075163271313,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,178.0,3.0,48.0,178.0,0.1,-0.19999999999999998,0.0,0.0,9.396089315414429,,,,,,,,,,,,,,,,,,,,,0.046181570625245784,0.34424699467297754,0.8012969761305881,-0.5985019985005999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,289.0,4.0,111.0,289.0,0.1,1.5999999999999992,0.0,0.0,20.701711893081665,,,,,,,,,,,,,,,,,,,,,1.2202295325838546,0.6771565279742113,2.608923222364255,-0.10223907576178842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,328.0,5.0,39.0,328.0,0.1,0.6999999999999994,0.0,0.0,24.869243621826172,,,,,,,,,,,,,,,,,,,,,-0.23894083295754998,0.5318758250553174,0.8115510116788966,-1.1420659616571645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,353.0,6.0,25.0,353.0,0.1,-0.6000000000000001,0.0,0.0,27.64254856109619,,,,,,,,,,,,,,,,,,,,,-0.4447506674045072,0.18424020287184922,-0.09151643319996475,-0.7972055930055972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,488.0,7.0,135.0,488.0,0.1,0.5499999999999982,0.0,0.0,41.393386363983154,,,,,,,,,,,,,,,,,,,,,0.03489954760187804,0.6592954129286108,1.2565507233128719,-1.2382650644171145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,550.0,8.0,62.0,550.0,0.1,1.0999999999999996,0.0,0.0,47.898895263671875,,,,,,,,,,,,,,,,,,,,,0.4399653614104709,0.37425196860380755,1.3787028882853307,-0.265997345830121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,580.0,9.0,30.0,580.0,0.1,0.6999999999999988,0.0,0.0,51.2785279750824,,,,,,,,,,,,,,,,,,,,,-0.29484707647500613,0.5108718835205692,0.710265232494005,-0.990169576458958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,635.0,10.0,55.0,635.0,0.1,2.2499999999999996,0.0,0.0,57.00359749794006,,,,,,,,,,,,,,,,,,,,,1.3441322825344335,0.49057938349102265,2.282714120963848,0.24964999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
